"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"1",0,0,0,1,0,1,1,TRUE
"2",0,0,0,0,0,0,0,FALSE
"4",0,0,1,1,0,0,0,TRUE
"5",0,0,1,0,1,1,0,FALSE
"6",0,1,1,0,0,1,1,TRUE
"7",0,0,1,0,0,0,0,FALSE
"8",0,0,0,0,0,0,0,FALSE
"9",0,0,1,0,0,0,0,FALSE
"10",0,0,0,0,0,0,0,FALSE
"13",0,0,0,0,0,0,0,FALSE
"14",0,0,1,1,0,0,0,FALSE
"15",0,0,0,1,0,1,1,TRUE
"16",0,0,1,1,0,1,1,FALSE
"17",0,0,0,0,0,0,0,FALSE
"19",1,1,1,1,0,0,0,FALSE
"20",1,0,1,1,0,1,1,FALSE
"21",1,0,1,1,0,1,1,FALSE
"23",0,0,0,0,0,0,0,FALSE
"24",0,0,0,0,0,0,0,FALSE
"25",1,0,0,0,0,1,0,FALSE
"26",0,0,0,0,0,0,0,FALSE
"27",0,0,1,0,1,1,1,FALSE
"28",0,0,0,0,1,0,0,FALSE
"29",0,0,0,0,0,1,0,FALSE
"30",0,0,0,1,0,0,1,FALSE
"31",0,0,0,0,0,0,0,FALSE
"32",0,0,0,0,0,0,0,FALSE
"33",0,0,0,0,0,0,0,FALSE
"34",1,0,1,0,0,1,1,FALSE
"36",0,0,0,0,0,0,0,FALSE
"39",0,0,0,0,0,0,0,FALSE
"40",0,0,0,0,0,1,0,FALSE
"41",0,0,1,0,0,0,0,FALSE
"42",0,0,1,0,0,0,0,FALSE
"43",0,0,0,0,0,0,0,TRUE
"44",0,0,1,0,0,0,0,FALSE
"45",0,0,1,0,1,0,0,FALSE
"46",0,0,0,1,0,0,0,FALSE
"47",0,0,0,0,0,1,0,FALSE
"48",0,0,0,0,1,0,0,FALSE
"49",0,0,0,0,0,0,0,FALSE
"50",0,0,0,1,0,0,0,FALSE
"52",0,0,0,0,0,0,0,FALSE
"53",0,0,1,1,0,0,0,FALSE
"54",0,0,0,0,0,0,0,FALSE
"55",0,0,0,1,0,1,0,FALSE
"58",0,0,0,0,0,0,0,FALSE
"59",0,1,1,1,0,1,1,TRUE
"60",0,0,0,0,0,0,0,FALSE
"61",0,0,0,1,0,0,0,FALSE
"62",0,0,0,1,0,0,0,TRUE
"63",0,0,0,0,0,0,0,FALSE
"64",0,0,0,0,0,0,0,FALSE
"65",0,0,1,1,1,1,0,FALSE
"66",0,0,0,0,0,0,0,FALSE
"67",0,0,0,0,0,0,1,FALSE
"69",0,0,0,0,0,0,0,FALSE
"70",0,0,0,1,0,0,0,FALSE
"71",0,0,0,0,0,1,1,FALSE
"72",0,0,1,1,0,1,0,FALSE
"73",0,0,0,0,0,0,0,FALSE
"74",1,1,1,0,0,0,1,FALSE
"75",0,0,0,0,0,0,0,TRUE
"77",0,0,0,0,0,1,1,FALSE
"78",0,0,0,0,0,0,0,FALSE
"79",0,0,1,0,0,1,0,FALSE
"80",0,0,0,0,0,0,0,FALSE
"81",0,0,0,1,0,0,0,FALSE
"82",0,0,0,1,0,0,0,TRUE
"83",1,0,0,1,0,1,0,FALSE
"85",0,0,0,0,1,0,0,FALSE
"86",0,0,0,1,0,0,0,FALSE
"87",0,0,1,0,0,1,0,FALSE
"89",0,0,1,1,0,0,0,TRUE
"90",0,0,0,0,0,1,0,FALSE
"92",0,0,0,1,0,0,0,FALSE
"93",0,0,0,0,0,0,0,FALSE
"94",0,0,0,0,0,0,0,FALSE
"96",0,0,0,0,0,0,0,FALSE
"97",0,0,0,0,0,1,0,FALSE
"98",0,0,0,1,0,0,0,FALSE
"99",0,0,0,0,0,1,0,FALSE
"100",0,0,0,0,0,0,0,FALSE
"101",0,0,0,0,0,0,0,FALSE
"102",0,0,0,0,0,0,0,FALSE
"103",0,0,0,0,0,0,0,FALSE
"104",1,0,0,0,0,0,1,FALSE
"105",0,0,1,0,0,0,0,FALSE
"106",0,0,0,1,0,1,0,FALSE
"107",0,0,0,1,0,0,0,FALSE
"109",0,0,0,0,0,0,0,FALSE
"110",0,0,0,0,0,0,0,TRUE
"112",0,0,0,1,0,0,0,FALSE
"113",0,0,0,0,0,0,0,FALSE
"114",0,1,0,0,0,0,0,FALSE
"115",0,0,0,0,0,0,0,FALSE
"117",0,1,1,1,0,0,0,FALSE
"118",0,0,0,0,0,0,0,FALSE
"119",0,0,1,0,0,1,1,FALSE
"120",0,0,0,1,0,1,1,FALSE
"121",0,0,1,0,1,0,1,FALSE
"122",0,0,1,1,0,0,0,FALSE
"123",0,0,1,0,0,0,0,FALSE
"124",0,0,0,0,0,0,0,FALSE
"125",0,0,0,1,0,0,0,FALSE
"126",0,0,0,0,0,1,0,FALSE
"127",1,1,1,0,1,0,0,FALSE
"128",0,0,0,1,0,0,0,FALSE
"129",0,0,0,0,0,0,0,FALSE
"130",0,0,0,0,0,1,0,FALSE
"131",0,0,0,0,0,0,1,FALSE
"133",0,0,0,0,0,1,1,FALSE
"134",0,0,1,1,1,1,1,FALSE
"135",0,1,0,0,0,0,0,FALSE
"136",0,0,0,0,0,0,0,FALSE
"137",0,0,0,1,0,1,0,FALSE
